	File		Model	T_Energy I_Energy RMSD
CHEMBL219790_02_run_21.log	1	16.966	54.686	0
CHEMBL219790_02_run_23.log	2	19.372	57.534	9.16469
CHEMBL219790_02_run_10.log	4	20.022	54.488	2.13546
CHEMBL219790_02_run_6.log	4	20.47	57.71	9.13068
CHEMBL219790_02_run_16.log	3	21.205	57.928	9.26621
CHEMBL219790_02_run_9.log	4	21.767	55.808	9.23208
CHEMBL219790_02_run_18.log	3	22.174	64.163	8.6076
CHEMBL219790_02_run_10.log	8	22.212	56.665	10.205
CHEMBL219790_02_run_11.log	7	24.18	58.054	9.95061
CHEMBL219790_02_run_7.log	6	24.212	57.713	2.09974
CHEMBL219790_02_run_22.log	1	24.429	54.122	9.61202
CHEMBL219790_02_run_12.log	2	24.872	59.333	9.35506
CHEMBL219790_02_run_14.log	10	25.11	56.334	9.70854
CHEMBL219790_02_run_20.log	7	25.128	53.39	4.83786
CHEMBL219790_02_run_22.log	4	25.166	54.658	9.48381
CHEMBL219790_02_run_14.log	11	25.378	57.542	9.61637
CHEMBL219790_02_run_12.log	3	25.55	52.099	8.62432
CHEMBL219790_02_run_17.log	5	25.594	52.174	6.68763
CHEMBL219790_02_run_12.log	5	26.331	57.356	8.74386
CHEMBL219790_02_run_10.log	9	26.412	59.078	9.25848
