	File		Model	T_Energy I_Energy RMSD
CHEMBL219988_03_run_12.log	1	17.785	52.212	0
CHEMBL219988_03_run_11.log	1	21.258	51.549	4.58303
CHEMBL219988_03_run_8.log	1	21.584	53.482	4.1725
CHEMBL219988_03_run_24.log	1	22.282	52.478	11.7195
CHEMBL219988_03_run_18.log	3	22.342	49.094	10.3744
CHEMBL219988_03_run_17.log	6	22.876	52.117	4.62594
CHEMBL219988_03_run_13.log	4	22.996	52.904	9.7593
CHEMBL219988_03_run_22.log	3	23.426	56.283	10.0596
CHEMBL219988_03_run_5.log	8	23.426	52.977	8.55818
CHEMBL219988_03_run_19.log	8	23.592	54.197	5.01155
CHEMBL219988_03_run_18.log	6	23.616	56.93	10.772
CHEMBL219988_03_run_12.log	6	23.716	52.285	2.08911
CHEMBL219988_03_run_8.log	2	23.72	59.529	10.7028
CHEMBL219988_03_run_15.log	7	23.749	54.779	4.63096
CHEMBL219988_03_run_22.log	5	23.869	62.227	10.1732
CHEMBL219988_03_run_21.log	9	23.923	55.723	3.69051
CHEMBL219988_03_run_20.log	6	24.339	57.146	10.7241
CHEMBL219988_03_run_9.log	8	24.468	49.919	10.4588
CHEMBL219988_03_run_19.log	10	24.908	51.092	4.48796
CHEMBL219988_03_run_23.log	11	24.942	52.301	3.7623
