	File		Model	T_Energy I_Energy RMSD
CHEMBL219683_02_run_24.log	1	1.251	30.067	0
CHEMBL219683_02_run_8.log	2	1.421	32.643	9.10337
CHEMBL219683_02_run_1.log	2	1.503	33.06	10.1175
CHEMBL219683_02_run_11.log	1	1.583	29.066	7.5281
CHEMBL219683_02_run_6.log	2	1.97	30.275	4.1243
CHEMBL219683_02_run_12.log	2	2.448	36.141	9.31729
CHEMBL219683_02_run_19.log	5	2.74	30.61	10.1687
CHEMBL219683_02_run_24.log	3	2.916	30.801	3.41709
CHEMBL219683_02_run_3.log	3	2.986	30.485	9.38447
CHEMBL219683_02_run_19.log	8	3.297	31.569	9.9023
CHEMBL219683_02_run_17.log	5	3.459	30.883	7.79201
CHEMBL219683_02_run_2.log	2	3.511	30.522	8.95603
CHEMBL219683_02_run_16.log	7	3.647	29.797	5.94212
CHEMBL219683_02_run_7.log	11	3.953	30.001	4.43414
CHEMBL219683_02_run_11.log	12	4.041	32.028	10.3477
CHEMBL219683_02_run_16.log	8	4.254	30.202	8.48365
CHEMBL219683_02_run_22.log	9	4.643	30.423	3.88668
CHEMBL219683_02_run_4.log	9	4.7	31.862	10.0318
CHEMBL219683_02_run_14.log	14	4.783	31.529	10.0265
CHEMBL219683_02_run_16.log	12	4.884	31.308	4.33812
