	File		Model	T_Energy I_Energy RMSD
CHEMBL78779_run_12.log	1	38.074	63.934	0
CHEMBL78779_run_6.log	2	39.134	65.395	2.99905
CHEMBL78779_run_20.log	1	41.563	63.763	8.68715
CHEMBL78779_run_7.log	1	41.715	63.99	12.8153
CHEMBL78779_run_9.log	2	42.88	65.803	8.01578
CHEMBL78779_run_4.log	5	43.238	64.774	9.65326
CHEMBL78779_run_23.log	4	43.458	64.241	8.71744
CHEMBL78779_run_3.log	4	43.524	63.575	9.14396
CHEMBL78779_run_12.log	5	43.652	64.198	8.80775
CHEMBL78779_run_15.log	4	43.894	64.861	10.2799
CHEMBL78779_run_7.log	5	43.987	64.734	11.1458
CHEMBL78779_run_3.log	6	44.073	64.013	2.83164
CHEMBL78779_run_19.log	8	44.357	64.617	10.8398
CHEMBL78779_run_20.log	7	44.36	65.006	10.5747
CHEMBL78779_run_6.log	9	44.374	63.47	8.81737
CHEMBL78779_run_21.log	8	44.387	64.834	10.0772
CHEMBL78779_run_3.log	8	44.448	63.512	8.61006
CHEMBL78779_run_21.log	10	44.523	65.071	9.72447
CHEMBL78779_run_2.log	10	44.531	64.3	11.0396
CHEMBL78779_run_20.log	9	44.538	63.86	7.93109
