	File		Model	T_Energy I_Energy RMSD
CHEMBL219683_03_run_18.log	1	-2.652	29.156	0
CHEMBL219683_01_run_4.log	2	-0.527	31.022	2.04069
CHEMBL219683_03_run_4.log	3	0.566	32.505	6.19079
CHEMBL219683_03_run_23.log	1	0.98	31.438	4.74749
CHEMBL219683_01_run_9.log	1	1.087	31.096	9.60666
CHEMBL219683_02_run_24.log	1	1.251	30.067	9.44437
CHEMBL219683_03_run_24.log	2	1.291	29.989	9.65035
CHEMBL219683_02_run_8.log	2	1.421	32.643	4.52419
CHEMBL219683_02_run_11.log	1	1.583	29.066	8.24467
CHEMBL219683_run_7.log	2	1.632	33.475	5.73619
CHEMBL219683_03_run_14.log	2	1.688	29.127	9.61133
CHEMBL219683_01_run_14.log	2	1.788	31.368	13.6429
CHEMBL219683_03_run_8.log	4	1.8	31.272	2.06177
CHEMBL219683_02_run_6.log	2	1.97	30.275	9.32649
CHEMBL219683_01_run_7.log	1	2.025	30.21	6.10798
CHEMBL219683_run_18.log	1	2.378	29.762	10.0862
CHEMBL219683_02_run_12.log	2	2.448	36.141	5.21306
CHEMBL219683_run_18.log	3	2.715	30.886	4.70132
CHEMBL219683_03_run_16.log	4	2.902	31.171	9.98201
CHEMBL219683_02_run_24.log	3	2.916	30.801	9.99616
