	File		Model	T_Energy I_Energy RMSD
CHEMBL220112_01_run_15.log	1	22.091	53.34	0
CHEMBL220112_01_run_14.log	1	22.308	60.177	10.105
CHEMBL220112_01_run_20.log	1	23.248	57.732	10.5072
CHEMBL220112_01_run_5.log	1	23.372	57.26	4.64867
CHEMBL220112_01_run_14.log	3	23.649	53.332	4.45086
CHEMBL220112_01_run_9.log	1	24.186	51.035	10.124
CHEMBL220112_01_run_21.log	2	24.212	54.011	11.3692
CHEMBL220112_01_run_16.log	4	24.791	61.126	10.3582
CHEMBL220112_01_run_15.log	4	24.904	57.778	4.31609
CHEMBL220112_01_run_5.log	3	25.023	53.747	4.48063
CHEMBL220112_01_run_24.log	3	25.239	57.65	9.88975
CHEMBL220112_01_run_24.log	4	25.531	54.431	9.53539
CHEMBL220112_01_run_23.log	7	25.713	51.838	10.1883
CHEMBL220112_01_run_5.log	4	25.804	53.329	8.64535
CHEMBL220112_01_run_11.log	6	26.305	52.923	8.13282
CHEMBL220112_01_run_15.log	7	26.774	56.795	3.88047
CHEMBL220112_01_run_12.log	4	26.932	51.197	8.54065
CHEMBL220112_01_run_4.log	9	27.388	53.743	4.8395
CHEMBL220112_01_run_6.log	8	27.559	63.337	11.5555
CHEMBL220112_01_run_23.log	10	27.615	55.599	3.56046
