	File		Model	T_Energy I_Energy RMSD
CHEMBL584754_run_21.log	1	27.917	66.173	0
CHEMBL584754_run_21.log	2	32.663	65.811	2.90461
CHEMBL584754_run_11.log	1	33.505	63.739	10.6042
CHEMBL584754_run_17.log	1	33.665	72.114	3.00385
CHEMBL584754_run_23.log	1	34.009	69.384	10.3024
CHEMBL584754_run_21.log	3	34.15	65.427	2.80369
CHEMBL584754_run_23.log	2	34.464	66.988	9.67272
CHEMBL584754_run_12.log	1	34.663	67.978	10.0662
CHEMBL584754_run_2.log	1	35.275	68.578	3.88056
CHEMBL584754_run_22.log	1	35.709	64.265	10.9036
CHEMBL584754_run_21.log	5	35.933	65.26	6.06129
CHEMBL584754_run_10.log	1	35.994	70.438	3.05118
CHEMBL584754_run_24.log	4	36.366	64.389	10.0957
CHEMBL584754_run_7.log	4	36.857	67.226	5.7498
CHEMBL584754_run_17.log	5	36.901	65.753	2.48889
CHEMBL584754_run_17.log	6	37.033	66.165	3.23868
CHEMBL584754_run_23.log	5	37.239	70.829	2.66409
CHEMBL584754_run_10.log	4	37.314	65.157	10.1128
CHEMBL584754_run_21.log	7	37.597	63.813	4.78235
CHEMBL584754_run_24.log	6	37.82	70.259	4.26106
